0,1,0,0,0,-0,0,0,0,-0,0,0,0,0.707106781186548,0,0.5,0.5,0,0,0,0,0,0,0,0
0.1,1,0,0,0,-0,0,0,0,-0,0,0,0,0.707106781186548,0,0.5,0.5,0,0,0,0,-3.83603737501345,-3.96085745746315,-7.6223344463151,-0.174560386161504
0.6,1,0,0,0,-0,0,0,0,-0,0,0,0,0.707106781186548,0,0.5,0.5,0,0,0,0,-3.83603737501345,-3.96085745746315,-7.6223344463151,-0.174560386161504
1,1,0,0,0,-0,0,0,0,-0,0,0,0,0.707106781186548,0,0.5,0.5,0,0,0,0,-3.83603737501345,-3.96085745746315,-7.6223344463151,-0.174560386161504
2,1,0,0,0,-0,0,0,0,0,-2.43861375046595e-05,0.0014031438744769,0.000466716811729011,0.707106781186548,0,0.5,0.5,0,0,0,0,-3.83603737501345,-3.96085745746315,-7.6223344463151,-0.174560386161504
3,0.999999726604677,-1.1082041651865e-05,0.000701576375207072,0.000233363128616098,-1.09357118333641e-06,-2.04372640004794e-05,0.00140316261337766,0.000466734647733755,-3.2805569172663e-06,-5.10063687154594e-06,0.00140319747101699,0.000466756987290537,0.707106781186548,0,0.5,0.5,34.0984674575012,35.2080533913412,67.757021863919,1.54949898492344,-3.77962538718573,-3.90160996210379,-7.40341402108797,-0.277821328201547
4,0.999995626005892,-3.16273005523052e-05,0.00280634917661986,0.000933473672668425,-8.74737588136824e-06,-9.78783622156201e-06,0.00280637750514353,0.000933451989304487,-1.29446226675425e-05,-2.55013384212438e-05,0.00134241078174508,0.00045981637601707,0.707106781186548,0,0.5,0.5,68.1969913013587,70.4160504730534,135.514043846327,3.09899792808465,-3.71929686796979,-3.84931406470163,-7.18437178667807,-0.384239145993355
4.71977609418644,0.999985126473809,-4.73616950598669e-05,0.00517404693011575,0.00172447858630102,-2.17023085552046e-05,-3.60119853693604e-05,0.00377261389727239,0.00126449747785126,-2.35708765024724e-05,4.26526460466678e-05,0.00134258514253783,0.000459623071284612,0.707106781186548,0,0.5,0.5,92.3793034537552,95.3789163253921,182.883190061034,4.87502971811288,-3.68006000223852,-3.81043325900171,-7.03212276950107,-0.458370491739153
5,0.999978055940922,-5.44156449157032e-05,0.00628393738066467,0.00209685634864037,-2.89935564462192e-05,-1.07785043491772e-05,0.00414883675271781,0.00139318238745997,-2.81481214135264e-05,0.000114319006194185,0.00128118281177796,0.00045214901929328,0.707106781186548,0,0.5,0.5,101.79404819662,105.097418496606,201.324990609026,5.56647608420031,-3.66065724624687,-3.79977724789389,-6.97276980926672,-0.48766468487404
6,0.999931784103292,-2.30761061322264e-05,0.0110733090457573,0.00371597016653704,-6.6978442840174e-05,9.15761080594133e-05,0.00542941087178246,0.00184459030583943,-4.80740350873985e-05,-0.000643858400576854,0.00121751972641377,0.000452112785523778,0.707106781186548,0,0.5,0.5,134.855032419513,139.313740806193,265.188776710509,8.97999651519769,-3.58999556648539,-3.76574766657101,-6.76839306070103,-0.587350172355382
